year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
1,,1,,,,,,
31,,91,,,,,,
1985,M,0,Exponential,(rate-shift),0.056902262,0.000000,,
1985,M,1,Exponential,(rate-shift),0.014295231,0.000000,,
1985,M,2,Exponential,(rate-shift),0.005110377,0.000000,,
1985,M,3,Exponential,(rate-shift),0.002246696,0.000000,,
1985,M,4,Exponential,(rate-shift),0.001410653,0.000000,,
1985,M,5,Exponential,(rate-shift),0.001108357,0.000000,,
1985,M,6,Exponential,(rate-shift),9.67241e-4,0.000000,,
1985,M,7,Exponential,(rate-shift),8.35085e-4,0.000000,,
1985,M,8,Exponential,(rate-shift),7.5356e-4,0.000000,,
1985,M,9,Exponential,(rate-shift),6.50436e-4,0.000000,,
1985,M,10,Exponential,(rate-shift),5.92977e-4,0.000000,,
1985,M,11,Exponential,(rate-shift),6.2926e-4,0.000000,,
1985,M,12,Exponential,(rate-shift),7.49593e-4,0.000000,,
1985,M,13,Exponential,(rate-shift),9.83659e-4,0.000000,,
1985,M,14,Exponential,(rate-shift),0.001305223,0.000000,,
1985,M,15,Exponential,(rate-shift),0.001631736,0.000000,,
1985,M,16,Exponential,(rate-shift),0.00199035,0.000000,,
1985,M,17,Exponential,(rate-shift),0.002377962,0.000000,,
1985,M,18,Exponential,(rate-shift),0.00278169,0.000000,,
1985,M,19,Exponential,(rate-shift),0.003188565,0.000000,,
1985,M,20,Exponential,(rate-shift),0.003600653,0.000000,,
1985,M,21,Exponential,(rate-shift),0.00400709,0.000000,,
1985,M,22,Exponential,(rate-shift),0.004376457,0.000000,,
1985,M,23,Exponential,(rate-shift),0.004690824,0.000000,,
1985,M,24,Exponential,(rate-shift),0.004951242,0.000000,,
1985,M,25,Exponential,(rate-shift),0.005166713,0.000000,,
1985,M,26,Exponential,(rate-shift),0.005309931,0.000000,,
1985,M,27,Exponential,(rate-shift),0.005392529,0.000000,,
1985,M,28,Exponential,(rate-shift),0.005467546,0.000000,,
1985,M,29,Exponential,(rate-shift),0.00555719,0.000000,,
1985,M,30,Exponential,(rate-shift),0.005647552,0.000000,,
1985,M,31,Exponential,(rate-shift),0.005716878,0.000000,,
1985,M,32,Exponential,(rate-shift),0.005790003,0.000000,,
1985,M,33,Exponential,(rate-shift),0.005892837,0.000000,,
1985,M,34,Exponential,(rate-shift),0.006025369,0.000000,,
1985,M,35,Exponential,(rate-shift),0.006180449,0.000000,,
1985,M,36,Exponential,(rate-shift),0.00637484,0.000000,,
1985,M,37,Exponential,(rate-shift),0.006614174,0.000000,,
1985,M,38,Exponential,(rate-shift),0.006886962,0.000000,,
1985,M,39,Exponential,(rate-shift),0.007201617,0.000000,,
1985,M,40,Exponential,(rate-shift),0.007559355,0.000000,,
1985,M,41,Exponential,(rate-shift),0.007969554,0.000000,,
1985,M,42,Exponential,(rate-shift),0.008445381,0.000000,,
1985,M,43,Exponential,(rate-shift),0.008981753,0.000000,,
1985,M,44,Exponential,(rate-shift),0.009570737,0.000000,,
1985,M,45,Exponential,(rate-shift),0.010217745,0.000000,,
1985,M,46,Exponential,(rate-shift),0.01096525,0.000000,,
1985,M,47,Exponential,(rate-shift),0.011815973,0.000000,,
1985,M,48,Exponential,(rate-shift),0.012761568,0.000000,,
1985,M,49,Exponential,(rate-shift),0.013817847,0.000000,,
1985,M,50,Exponential,(rate-shift),0.014992472,0.000000,,
1985,M,51,Exponential,(rate-shift),0.016243781,0.000000,,
1985,M,52,Exponential,(rate-shift),0.017518947,0.000000,,
1985,M,53,Exponential,(rate-shift),0.01880041,0.000000,,
1985,M,54,Exponential,(rate-shift),0.020077771,0.000000,,
1985,M,55,Exponential,(rate-shift),0.021350868,0.000000,,
1985,M,56,Exponential,(rate-shift),0.022676936,0.000000,,
1985,M,57,Exponential,(rate-shift),0.02409342,0.000000,,
1985,M,58,Exponential,(rate-shift),0.025584595,0.000000,,
1985,M,59,Exponential,(rate-shift),0.027174266,0.000000,,
1985,M,60,Exponential,(rate-shift),0.028913835,0.000000,,
1985,M,61,Exponential,(rate-shift),0.03084614,0.000000,,
1985,M,62,Exponential,(rate-shift),0.032991614,0.000000,,
1985,M,63,Exponential,(rate-shift),0.035353638,0.000000,,
1985,M,64,Exponential,(rate-shift),0.037936755,0.000000,,
1985,M,65,Exponential,(rate-shift),0.040718457,0.000000,,
1985,M,66,Exponential,(rate-shift),0.043696344,0.000000,,
1985,M,67,Exponential,(rate-shift),0.046832124,0.000000,,
1985,M,68,Exponential,(rate-shift),0.05004444,0.000000,,
1985,M,69,Exponential,(rate-shift),0.053366147,0.000000,,
1985,M,70,Exponential,(rate-shift),0.056979441,0.000000,,
1985,M,71,Exponential,(rate-shift),0.060790593,0.000000,,
1985,M,72,Exponential,(rate-shift),0.064954479,0.000000,,
1985,M,73,Exponential,(rate-shift),0.069568883,0.000000,,
1985,M,74,Exponential,(rate-shift),0.074679703,0.000000,,
1985,M,75,Exponential,(rate-shift),0.080211218,0.000000,,
1985,M,76,Exponential,(rate-shift),0.08590271,0.000000,,
1985,M,77,Exponential,(rate-shift),0.091551566,0.000000,,
1985,M,78,Exponential,(rate-shift),0.096947519,0.000000,,
1985,M,79,Exponential,(rate-shift),0.102046622,0.000000,,
1985,M,80,Exponential,(rate-shift),0.107275836,0.000000,,
1985,M,81,Exponential,(rate-shift),0.113000812,0.000000,,
1985,M,82,Exponential,(rate-shift),0.119704216,0.000000,,
1985,M,83,Exponential,(rate-shift),0.129400496,0.000000,,
1985,M,84,Exponential,(rate-shift),0.139889971,0.000000,,
1985,M,85,Exponential,(rate-shift),0.151951479,0.000000,,
1985,M,86,Exponential,(rate-shift),0.165049521,0.000000,,
1985,M,87,Exponential,(rate-shift),0.178708557,0.000000,,
1985,M,88,Exponential,(rate-shift),0.192270987,0.000000,,
1985,M,89,Exponential,(rate-shift),0.206727434,0.000000,,
1985,M,90,Exponential,(rate-shift),0.222114235,0.000000,,
1986,M,0,Exponential,(rate-shift),0.05520115,0.000000,,
1986,M,1,Exponential,(rate-shift),0.013545073,0.000000,,
1986,M,2,Exponential,(rate-shift),0.004972736,0.000000,,
1986,M,3,Exponential,(rate-shift),0.002293621,0.000000,,
1986,M,4,Exponential,(rate-shift),0.001477971,0.000000,,
1986,M,5,Exponential,(rate-shift),0.00115835,0.000000,,
1986,M,6,Exponential,(rate-shift),9.94581e-4,0.000000,,
1986,M,7,Exponential,(rate-shift),8.47843e-4,0.000000,,
1986,M,8,Exponential,(rate-shift),7.56391e-4,0.000000,,
1986,M,9,Exponential,(rate-shift),6.53441e-4,0.000000,,
1986,M,10,Exponential,(rate-shift),5.9954e-4,0.000000,,
1986,M,11,Exponential,(rate-shift),6.37253e-4,0.000000,,
1986,M,12,Exponential,(rate-shift),7.56244e-4,0.000000,,
1986,M,13,Exponential,(rate-shift),9.82798e-4,0.000000,,
1986,M,14,Exponential,(rate-shift),0.001292885,0.000000,,
