year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
1,,5,,,,,,
17,,18,,,,,,
2000,M,0,Exponential,(rate-shift),0.01490,0.0,,
2000,M,5,Exponential,(rate-shift),0.00192,0.0,,
2000,M,10,Exponential,(rate-shift),0.00104,0.0,,
2000,M,15,Exponential,(rate-shift),0.00174,0.0,,
2000,M,20,Exponential,(rate-shift),0.00343,0.0,,
2000,M,25,Exponential,(rate-shift),0.00640,0.0,,
2000,M,30,Exponential,(rate-shift),0.00898,0.0,,
2000,M,35,Exponential,(rate-shift),0.01216,0.0,,
2000,M,40,Exponential,(rate-shift),0.01347,0.0,,
2000,M,45,Exponential,(rate-shift),0.01500,0.0,,
2000,M,50,Exponential,(rate-shift),0.01977,0.0,,
2000,M,55,Exponential,(rate-shift),0.02598,0.0,,
2000,M,60,Exponential,(rate-shift),0.04002,0.0,,
2000,M,65,Exponential,(rate-shift),0.05882,0.0,,
2000,M,70,Exponential,(rate-shift),0.08436,0.0,,
2000,M,75,Exponential,(rate-shift),0.11735,0.0,,
2000,M,80,Exponential,(rate-shift),0.16212,0.0,,
2000,M,85,Exponential,(rate-shift),0.24400,0.0,,
2001,M,0,Exponential,(rate-shift),0.01531,0.0,,
2001,M,5,Exponential,(rate-shift),0.00197,0.0,,
2001,M,10,Exponential,(rate-shift),0.00108,0.0,,
2001,M,15,Exponential,(rate-shift),0.00172,0.0,,
2001,M,20,Exponential,(rate-shift),0.00347,0.0,,
2001,M,25,Exponential,(rate-shift),0.00689,0.0,,
2001,M,30,Exponential,(rate-shift),0.01013,0.0,,
2001,M,35,Exponential,(rate-shift),0.01399,0.0,,
2001,M,40,Exponential,(rate-shift),0.01517,0.0,,
2001,M,45,Exponential,(rate-shift),0.01631,0.0,,
2001,M,50,Exponential,(rate-shift),0.02065,0.0,,
2001,M,55,Exponential,(rate-shift),0.02636,0.0,,
2001,M,60,Exponential,(rate-shift),0.04010,0.0,,
2001,M,65,Exponential,(rate-shift),0.05872,0.0,,
2001,M,70,Exponential,(rate-shift),0.08414,0.0,,
2001,M,75,Exponential,(rate-shift),0.11708,0.0,,
2001,M,80,Exponential,(rate-shift),0.16176,0.0,,
2001,M,85,Exponential,(rate-shift),0.24400,0.0,,
2002,M,0,Exponential,(rate-shift),0.01583,0.0,,
2002,M,5,Exponential,(rate-shift),0.00206,0.0,,
2002,M,10,Exponential,(rate-shift),0.00110,0.0,,
