year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
-,-,50,,,,,,
,,11,,,,,,
,,0,Bernoulli,(p),0.0000000000001,,,
,,50,Bernoulli,(p),0.0000000000001,,,
,,100,Bernoulli,(p),0.0000000000001,,,
,,150,Bernoulli,(p),0.0000000000001,,,
,,200,Bernoulli,(p),0.0000000000001,,,
,,250,Bernoulli,(p),0.0000000000001,,,
,,300,Bernoulli,(p),0.0000000000001,,,
,,350,Bernoulli,(p),0.0000000000001,,,
,,400,Bernoulli,(p),0.0000000000001,,,
,,450,Bernoulli,(p),0.0000000000001,,,
,,500,Bernoulli,(p),0.0000000000001,,,
