year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
5,-,25,,,,,,
3,,4,,,,,,
1990,M,0,Constant,value,0.000000001,,,
1990,M,25,Constant,value,0.000000001,,,
1990,M,50,Constant,value,0.000000001,,,
1990,M,75,Constant,value,0.000000001,,,
1995,M,0,Constant,value,0.000000001,,,
1995,M,25,Constant,value,0.000000001,,,
1995,M,50,Constant,value,0.000000001,,,
1995,M,75,Constant,value,0.000000001,,,
2000,M,0,Constant,value,0.000000001,,,
2000,M,25,Constant,value,0.000000001,,,
2000,M,50,Constant,value,0.000000001,,,
2000,M,75,Constant,value,0.000000001,,,
1990,F,0,Constant,value,0.000000001,,,
1990,F,25,Constant,value,0.000000001,,,
1990,F,50,Constant,value,0.000000001,,,
1990,F,75,Constant,value,0.000000001,,,
1995,F,0,Constant,value,0.000000001,,,
1995,F,25,Constant,value,0.000000001,,,
1995,F,50,Constant,value,0.000000001,,,
1995,F,75,Constant,value,0.000000001,,,
2000,F,0,Constant,value,0.000000001,,,
2000,F,25,Constant,value,0.000000001,,,
2000,F,50,Constant,value,0.000000001,,,
2000,F,75,Constant,value,0.000000001,,,
