year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
5,-,25,,,,,,
3,,4,,,,,,
1990,M,0,Constant,value,0.1,,,
1990,M,25,Constant,value,0.3,,,
1990,M,50,Constant,value,0.2,,,
1990,M,75,Constant,value,0.15,,,
1990,F,0,Constant,value,0.1,,,
1990,F,25,Constant,value,0.3,,,
1990,F,50,Constant,value,0.2,,,
1990,F,75,Constant,value,0.15,,,
1995,M,0,Constant,value,0.1,,,
1995,M,25,Constant,value,0.3,,,
1995,M,50,Constant,value,0.2,,,
1995,M,75,Constant,value,0.15,,,
1995,F,0,Constant,value,0.1,,,
1995,F,25,Constant,value,0.3,,,
1995,F,50,Constant,value,0.2,,,
1995,F,75,Constant,value,0.15,,,
2000,M,0,Constant,value,0.1,,,
2000,M,25,Constant,value,0.3,,,
2000,M,50,Constant,value,0.2,,,
2000,M,75,Constant,value,0.15,,,
2000,F,0,Constant,value,0.1,,,
2000,F,25,Constant,value,0.3,,,
2000,F,50,Constant,value,0.2,,,
2000,F,75,Constant,value,0.15,,,
