year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
1,-,5,,,,,,
1,,13,,,,,,
1990,M,0,Bernoulli,p,0.000,,,
1990,M,5,Bernoulli,p,0.000,,,
1990,M,10,Bernoulli,p,0.000,,,
1990,M,15,Bernoulli,p,0.000,,,
1990,M,20,Bernoulli,p,0.003,,,
1990,M,25,Bernoulli,p,0.005,,,
1990,M,30,Bernoulli,p,0.005,,,
1990,M,35,Bernoulli,p,0.004,,,
1990,M,40,Bernoulli,p,0.003,,,
1990,M,45,Bernoulli,p,0.002,,,
1990,M,50,Bernoulli,p,0.001,,,
1990,M,55,Bernoulli,p,0.001,,,
1990,M,60,Bernoulli,p,0.000,,,
1990,F,0,Bernoulli,p,0.000,,,
1990,F,5,Bernoulli,p,0.000,,,
1990,F,10,Bernoulli,p,0.000,,,
1990,F,15,Bernoulli,p,0.003,,,
1990,F,20,Bernoulli,p,0.008,,,
1990,F,25,Bernoulli,p,0.006,,,
1990,F,30,Bernoulli,p,0.004,,,
1990,F,35,Bernoulli,p,0.003,,,
1990,F,40,Bernoulli,p,0.002,,,
1990,F,45,Bernoulli,p,0.001,,,
1990,F,50,Bernoulli,p,0.000,,,
1990,F,55,Bernoulli,p,0.000,,,
1990,F,60,Bernoulli,p,0.000,,,
