year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
-,,1,,,,,,
,,91,,,,,,
,M,0,Bernoulli,p,0.000000001,,,
,M,1,Bernoulli,p,0.000000001,,,
,M,2,Bernoulli,p,0.000000001,,,
,M,3,Bernoulli,p,0.000000001,,,
,M,4,Bernoulli,p,0.000000001,,,
,M,5,Bernoulli,p,0.000000001,,,
,M,6,Bernoulli,p,0.000000001,,,
,M,7,Bernoulli,p,0.000000001,,,
,M,8,Bernoulli,p,0.000000001,,,
,M,9,Bernoulli,p,0.000000001,,,
,M,10,Bernoulli,p,0.000000001,,,
,M,11,Bernoulli,p,0.000000001,,,
,M,12,Bernoulli,p,0.000000001,,,
,M,13,Bernoulli,p,0.000000001,,,
,M,14,Bernoulli,p,0.000000001,,,
,M,15,Bernoulli,p,0.000000001,,,
,M,16,Bernoulli,p,0.000000001,,,
,M,17,Bernoulli,p,0.000000001,,,
,M,18,Bernoulli,p,0.000000001,,,
,M,19,Bernoulli,p,0.000000001,,,
,M,20,Bernoulli,p,0.000000001,,,
,M,21,Bernoulli,p,0.000000001,,,
,M,22,Bernoulli,p,0.000000001,,,
,M,23,Bernoulli,p,0.000000001,,,
,M,24,Bernoulli,p,0.000000001,,,
,M,25,Bernoulli,p,0.000000001,,,
,M,26,Bernoulli,p,0.000000001,,,
,M,27,Bernoulli,p,0.000000001,,,
,M,28,Bernoulli,p,0.000000001,,,
,M,29,Bernoulli,p,0.000000001,,,
,M,30,Bernoulli,p,0.000000001,,,
,M,31,Bernoulli,p,0.000000001,,,
,M,32,Bernoulli,p,0.000000001,,,
,M,33,Bernoulli,p,0.000000001,,,
,M,34,Bernoulli,p,0.000000001,,,
,M,35,Bernoulli,p,0.000000001,,,
,M,36,Bernoulli,p,0.000000001,,,
,M,37,Bernoulli,p,0.000000001,,,
,M,38,Bernoulli,p,0.000000001,,,
,M,39,Bernoulli,p,0.000000001,,,
,M,40,Bernoulli,p,0.000000001,,,
,M,41,Bernoulli,p,0.000000001,,,
,M,42,Bernoulli,p,0.000000001,,,
,M,43,Bernoulli,p,0.000000001,,,
,M,44,Bernoulli,p,0.000000001,,,
,M,45,Bernoulli,p,0.000000001,,,
,M,46,Bernoulli,p,0.000000001,,,
,M,47,Bernoulli,p,0.000000001,,,
,M,48,Bernoulli,p,0.000000001,,,
,M,49,Bernoulli,p,0.000000001,,,
,M,50,Bernoulli,p,0.000000001,,,
,M,51,Bernoulli,p,0.000000001,,,
,M,52,Bernoulli,p,0.000000001,,,
,M,53,Bernoulli,p,0.000000001,,,
,M,54,Bernoulli,p,0.000000001,,,
,M,55,Bernoulli,p,0.000000001,,,
